"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",2494
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",162
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3216
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","4.795737123"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",685
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",106
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",850
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11.08786611"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",921
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",89
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1225
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","6.773211568"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",1162
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",118
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1524
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7.1863581"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",1829
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",150
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2350
"57. Самарская область","3_1","Число погибших на 100 пострадавших",6
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",1300
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",144
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1664
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7.96460177"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",475
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",60
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",631
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","8.683068017"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",5997
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",574
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7421
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7.179487179"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",389
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",66
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",459
"60. Курганская область","3_1","Число погибших на 100 пострадавших","12.57142857"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",1343
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",166
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1626
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","9.263392857"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",2225
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",159
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2925
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5.155642023"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",1507
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",95
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1971
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4.598257502"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",586
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",52
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",792
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6.161137441"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",132
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",12
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",162
