"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",174
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",28
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",212
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","11,66666667"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",384
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",34
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",502
"52. Кировская область","3_1","Число погибших на 100 пострадавших","6,343283582"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",1139
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",86
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1495
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5,439595193"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",300
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",51
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",359
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","12,43902439"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",442
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",47
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",581
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7,484076433"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",566
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",58
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",781
"56. Пермский край","3_1","Число погибших на 100 пострадавших","6,912991657"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",887
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",70
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1141
"57. Самарская область","3_1","Число погибших на 100 пострадавших","5,780346821"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",612
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",86
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",771
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","10,03500583"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",231
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",24
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",315
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","7,079646018"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",2786
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",283
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3516
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7,449328771"
