"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2024 г.)"
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",884
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","6,849315068"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",548
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",65
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",652
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,065550907"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",579
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",65
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",746
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,014796547"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",628
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",64
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",800
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7,407407407"
"76. Омская область","3_1","Количество ДТП с пострадавшими",674
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",34
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",854
"76. Омская область","3_1","Число погибших на 100 пострадавших","3,828828829"
"77. Томская область","3_1","Количество ДТП с пострадавшими",117
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",19
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",132
"77. Томская область","3_1","Число погибших на 100 пострадавших","12,58278146"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",2214
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",264
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2831
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,529886914"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",232
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",22
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",299
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","6,853582555"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",198
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",24
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",258
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","8,510638298"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",231
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",56
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",249
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","18,36065574"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",646
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",74
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",837
"80. Приморский край","3_1","Число погибших на 100 пострадавших","8,122941822"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",337
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",31
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",430
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","6,724511931"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",105
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",4
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",133
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","2,919708029"
