"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",44
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",3
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",76
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","3,797468354"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",3314
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",375
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4360
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,919746568"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",344
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",45
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",444
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,202453988"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",84
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",8
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",117
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","6,4"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",84
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",7
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",128
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","5,185185185"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",380
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",37
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",486
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,07456979"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",159
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",20
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",199
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","9,132420091"
