Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь-март 2024 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
65.   Ямало-Ненецкий АО,3_1,Число погибших на 100 пострадавших,"16,85393258"
66. Челябинская область,3_1,Количество ДТП с пострадавшими,665
66. Челябинская область,3_1,"Количество лиц, погибших в результате ДТП",52
66. Челябинская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",846
66. Челябинская область,3_1,Число погибших на 100 пострадавших,"5,79064588"
Сибирский фед.округ,3_1,Количество ДТП с пострадавшими,3068
Сибирский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",294
Сибирский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",3954
Сибирский фед.округ,3_1,Число погибших на 100 пострадавших,"6,920903955"
67. Республика Алтай,3_1,Количество ДТП с пострадавшими,54
67. Республика Алтай,3_1,"Количество лиц, погибших в результате ДТП",4
67. Республика Алтай,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",72
67. Республика Алтай,3_1,Число погибших на 100 пострадавших,"5,263157895"
69. Республика Тыва,3_1,Количество ДТП с пострадавшими,67
69. Республика Тыва,3_1,"Количество лиц, погибших в результате ДТП",11
69. Республика Тыва,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",97
69. Республика Тыва,3_1,Число погибших на 100 пострадавших,"10,18518519"
70. Республика Хакасия,3_1,Количество ДТП с пострадавшими,77
70. Республика Хакасия,3_1,"Количество лиц, погибших в результате ДТП",9
70. Республика Хакасия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",90
70. Республика Хакасия,3_1,Число погибших на 100 пострадавших,"9,090909091"
71. Алтайский край,3_1,Количество ДТП с пострадавшими,429
71. Алтайский край,3_1,"Количество лиц, погибших в результате ДТП",45
71. Алтайский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",599
71. Алтайский край,3_1,Число погибших на 100 пострадавших,"6,98757764"
72. Красноярский край,3_1,Количество ДТП с пострадавшими,519
72. Красноярский край,3_1,"Количество лиц, погибших в результате ДТП",43
72. Красноярский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",657
72. Красноярский край,3_1,Число погибших на 100 пострадавших,"6,142857143"
73. Иркутская область,3_1,Количество ДТП с пострадавшими,408
73. Иркутская область,3_1,"Количество лиц, погибших в результате ДТП",48
73. Иркутская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",490
73. Иркутская область,3_1,Число погибших на 100 пострадавших,"8,921933086"
74. Кемеровская область - Кузбасс,3_1,Количество ДТП с пострадавшими,425
74. Кемеровская область - Кузбасс,3_1,"Количество лиц, погибших в результате ДТП",42
74. Кемеровская область - Кузбасс,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",556
74. Кемеровская область - Кузбасс,3_1,Число погибших на 100 пострадавших,"7,023411371"
75. Новосибирская область,3_1,Количество ДТП с пострадавшими,467
75. Новосибирская область,3_1,"Количество лиц, погибших в результате ДТП",48
75. Новосибирская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",602
75. Новосибирская область,3_1,Число погибших на 100 пострадавших,"7,384615385"
76. Омская область,3_1,Количество ДТП с пострадавшими,531
76. Омская область,3_1,"Количество лиц, погибших в результате ДТП",29
76. Омская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",687
76. Омская область,3_1,Число погибших на 100 пострадавших,"4,05027933"
77. Томская область,3_1,Количество ДТП с пострадавшими,91
77. Томская область,3_1,"Количество лиц, погибших в результате ДТП",15
77. Томская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",104
77. Томская область,3_1,Число погибших на 100 пострадавших,"12,60504202"
Дальневосточный фед.округ,3_1,Количество ДТП с пострадавшими,1568
Дальневосточный фед.округ,3_1,"Количество лиц, погибших в результате ДТП",199
Дальневосточный фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2036
Дальневосточный фед.округ,3_1,Число погибших на 100 пострадавших,"8,903803132"
68. Республика Бурятия,3_1,Количество ДТП с пострадавшими,165
68. Республика Бурятия,3_1,"Количество лиц, погибших в результате ДТП",14
68. Республика Бурятия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",222
68. Республика Бурятия,3_1,Число погибших на 100 пострадавших,"5,93220339"
79. Республика Саха (Якутия),3_1,Количество ДТП с пострадавшими,141
79. Республика Саха (Якутия),3_1,"Количество лиц, погибших в результате ДТП",18
79. Республика Саха (Якутия),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",192
79. Республика Саха (Якутия),3_1,Число погибших на 100 пострадавших,"8,571428571"
