"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - август 2024 г.)"
"Хабаровский край","3_1","Число погибших на 100 пострадавших","8,548530721"
"Камчатский край","3_1","Количество ДТП с пострадавшими",262
"Камчатский край","3_1","Количество лиц, погибших в результате ДТП",19
"Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",323
"Камчатский край","3_1","Число погибших на 100 пострадавших","5,555555556"
"Амурская область","3_1","Количество ДТП с пострадавшими",746
"Амурская область","3_1","Количество лиц, погибших в результате ДТП",75
"Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1019
"Амурская область","3_1","Число погибших на 100 пострадавших","6,855575868"
"Магаданская область","3_1","Количество ДТП с пострадавшими",109
"Магаданская область","3_1","Количество лиц, погибших в результате ДТП",16
"Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",143
"Магаданская область","3_1","Число погибших на 100 пострадавших","10,06289308"
"Сахалинская область","3_1","Количество ДТП с пострадавшими",225
"Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",45
"Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",282
"Сахалинская область","3_1","Число погибших на 100 пострадавших","13,76146789"
"Еврейская АО","3_1","Количество ДТП с пострадавшими",138
"Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",12
"Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",179
"Еврейская АО","3_1","Число погибших на 100 пострадавших","6,282722513"
"Чукотский АО","3_1","Количество ДТП с пострадавшими",10
"Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",1
"Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",15
"Чукотский АО","3_1","Число погибших на 100 пострадавших","6,25"
"ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",16
"ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",4
