"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",1570
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",112
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2038
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5,209302326"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",441
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",73
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",541
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11,88925081"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",578
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",58
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",755
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7,134071341"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",748
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",77
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1009
"56. Пермский край","3_1","Число погибших на 100 пострадавших","7,090239411"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",1180
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",88
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1515
"57. Самарская область","3_1","Число погибших на 100 пострадавших","5,4897068"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",832
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",99
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1034
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","8,737864078"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",315
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",35
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",417
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","7,743362832"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",3754
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",373
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4678
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7,384676302"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",249
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",45
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",306
"60. Курганская область","3_1","Число погибших на 100 пострадавших","12,82051282"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",856
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",99
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1058
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,556611927"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1379
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",106
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1817
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,512220489"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",912
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",64
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1190
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","5,103668262"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",371
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",36
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",510
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,593406593"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",96
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",6
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",117
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","4,87804878"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",1270
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",123
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1497
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7,592592593"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",5907
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",528
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7431
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","6,633999246"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",111
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",9
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",135
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","6,25"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",232
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",30
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",304
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","8,982035928"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",167
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",23
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",215
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","9,663865546"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",764
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",64
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1036
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","5,818181818"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",989
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",94
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1209
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7,214121259"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",750
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",104
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",906
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","10,2970297"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",781
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",61
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",974
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","5,893719807"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",1120
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",101
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1337
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7,02364395"
"76. Омская область","3_1","Количество ДТП с пострадавшими",877
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",33
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1176
"76. Омская область","3_1","Число погибших на 100 пострадавших","2,729528536"
"77. Томская область","3_1","Количество ДТП с пострадавшими",116
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",9
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",139
"77. Томская область","3_1","Число погибших на 100 пострадавших","6,081081081"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",2862
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",302
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3599
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","7,741604717"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",314
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",44
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",382
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","10,3286385"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",264
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",21
