"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2024 г.)"
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",282
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","7,843137255"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",979
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",93
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1296
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,695464363"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",1261
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",111
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1522
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","6,797305573"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",951
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",115
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1162
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,005481597"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",970
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",113
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1387
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","7,533333333"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",1065
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",96
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1313
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","6,813342796"
"76. Омская область","3_1","Количество ДТП с пострадавшими",1147
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",63
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1445
"76. Омская область","3_1","Число погибших на 100 пострадавших","4,177718833"
"77. Томская область","3_1","Количество ДТП с пострадавшими",202
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",28
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",232
"77. Томская область","3_1","Число погибших на 100 пострадавших","10,76923077"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",3834
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",461
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4849
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,68173258"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",432
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",42
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",547
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,130730051"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",340
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",41
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",447
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","8,401639344"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",413
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",94
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",435
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","17,76937618"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",1107
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",109
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1432
"80. Приморский край","3_1","Число погибших на 100 пострадавших","7,073329007"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",563
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",62
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",703
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","8,104575163"
