"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - май 2024 г.)"
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,655705996"
"Республика Бурятия","3_1","Количество ДТП с пострадавшими",338
"Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",30
"Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",434
"Республика Бурятия","3_1","Число погибших на 100 пострадавших","6,465517241"
"Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",261
"Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",34
"Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",329
"Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","9,366391185"
"Забайкальский край","3_1","Количество ДТП с пострадавшими",307
"Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",71
"Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",328
"Забайкальский край","3_1","Число погибших на 100 пострадавших","17,79448622"
"Приморский край","3_1","Количество ДТП с пострадавшими",872
"Приморский край","3_1","Количество лиц, погибших в результате ДТП",96
"Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1114
"Приморский край","3_1","Число погибших на 100 пострадавших","7,933884298"
"Хабаровский край","3_1","Количество ДТП с пострадавшими",460
"Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",53
"Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",584
"Хабаровский край","3_1","Число погибших на 100 пострадавших","8,320251177"
"Камчатский край","3_1","Количество ДТП с пострадавшими",136
"Камчатский край","3_1","Количество лиц, погибших в результате ДТП",5
"Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",168
"Камчатский край","3_1","Число погибших на 100 пострадавших","2,89017341"
"Амурская область","3_1","Количество ДТП с пострадавшими",389
"Амурская область","3_1","Количество лиц, погибших в результате ДТП",32
"Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",524
"Амурская область","3_1","Число погибших на 100 пострадавших","5,755395683"
"Магаданская область","3_1","Количество ДТП с пострадавшими",57
"Магаданская область","3_1","Количество лиц, погибших в результате ДТП",4
"Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",85
"Магаданская область","3_1","Число погибших на 100 пострадавших","4,494382022"
"Сахалинская область","3_1","Количество ДТП с пострадавшими",118
"Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",26
"Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",132
"Сахалинская область","3_1","Число погибших на 100 пострадавших","16,4556962"
"Еврейская АО","3_1","Количество ДТП с пострадавшими",56
"Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",7
"Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",72
"Еврейская АО","3_1","Число погибших на 100 пострадавших","8,860759494"
"Чукотский АО","3_1","Количество ДТП с пострадавшими",4
"Чукотский АО","3_1","Количество лиц, погибших в результате ДТП",0
"Чукотский АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8
"Чукотский АО","3_1","Число погибших на 100 пострадавших",0
"ФТ ""Сириус""","3_1","Количество ДТП с пострадавшими",5
"ФТ ""Сириус""","3_1","Количество лиц, погибших в результате ДТП",1
"ФТ ""Сириус""","3_1","Количество лиц, получивших ранения в результате совершения ДТП",4
